ykiho,name,kind,sido,sigungu,address,phone,homepage,lat,lng,doctors,openedOn,eyeDoctors,hours,lunch,recv,place
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,university,강원,강릉시,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",033-610-3114,http://www.gnah.co.kr,37.8184324,128.8578411,242,19960730,3,,,,
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,연세대학교 원주세브란스기독병원,university,강원,원주시,"강원특별자치도 원주시 일산로 20-0,  (일산동)",033-741-0114,https://www.ywmc.or.kr/,37.3490013,127.9456638,404,19770501,3,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시30분~13시30분,08시30분~17시30분,원주세브란스기독병원
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQzNjEyMjIjNzEjJDEjJDgjJDgz,순천향대학교부속부천병원,university,경기,부천원미구,"경기도 부천시 원미구 조마루로 170, 부흥로 173(1층일부) (중동)",032-621-5114,www.schmc.ac.kr/bucheon/kor/index.do,37.4986998,126.7629626,367,20010129,7,"{""0"": [""0900"", ""1700""], ""1"": [""0900"", ""1700""], ""2"": [""0900"", ""1700""], ""3"": [""0900"", ""1700""], ""4"": [""0900"", ""1700""], ""5"": [""0900"", ""1200""]}",12시 00시 ~ 14시 00분,08시 00분 ~ 16시 30분,순천향대학교부속부천병원
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,분당서울대학교병원,university,경기,성남분당구,"경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)",031-787-2114,http://www.snubh.org/index.do,37.3516694,127.1234066,789,20030415,22,,,,
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,아주대학교병원,university,경기,수원영통구,"경기도 수원시 영통구 월드컵로 164, (원천동)",031-219-5114,http://hosp.ajoumc.or.kr/,37.2794612,127.0476837,646,19940425,12,"{""0"": [""0800"", ""1700""], ""1"": [""0800"", ""1700""], ""2"": [""0800"", ""1700""], ""3"": [""0800"", ""1700""], ""4"": [""0800"", ""1700""]}",12시00분~13시00분,08시00분~17시00분,아주대학교 정문
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,university,경기,수원팔달구,"경기도 수원시 팔달구 중부대로 93, (지동)",031-1577-8588,http://www.cmcvincent.or.kr/skip.html,37.2779855,127.0274271,360,19670523,5,"{""0"": [""0830"", ""1700""], ""1"": [""0830"", ""1700""], ""2"": [""0830"", ""1700""], ""3"": [""0830"", ""1700""], ""4"": [""0830"", ""1700""]}",12:00~13:00,08:00~17:00,동수원사거리(1번 국도)
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjEwMDIjNTEjJDEjJDIjJDgz,고려대학교의과대학부속안산병원,university,경기,안산단원구,"경기도 안산시 단원구 적금로 123, (고잔동)",031-1577-7516,http://ansan.kumc.or.kr/main/index.do,37.3185144,126.8249033,362,19860101,6,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""], ""5"": [""0830"", ""1200""]}",12시00분~14시 00분,08시30분~16시00분,안산상공회의소
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한림대학교성심병원,university,경기,안양동안구,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",031-380-1500,http://hallym.hallym.or.kr/,37.3917575,126.9620529,348,19981217,6,,,,
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,양산부산대학교병원,university,경남,양산시,"경상남도 양산시 물금읍 금오로 20, (물금읍)",055-360-1000,http://www.pnuyh.co.kr/content/,35.32815,129.0057274,470,20081024,6,"{""0"": [""0830"", ""1730""], ""1"": [""0830"", ""1730""], ""2"": [""0830"", ""1730""], ""3"": [""0830"", ""1730""], ""4"": [""0830"", ""1730""]}",12시00분~13시30분,08시20분~17시30분,
JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,university,경남,진주시,"경상남도 진주시 강남로 79, (칠암동)",055-750-8000,http://www.gnuh.co.kr/,35.1759944,128.0964924,262,19861013,7,"{""0"": [""0900"", ""1800""], ""1"": [""0900"", ""1800""], ""2"": [""0900"", ""1800""], ""3"": [""0900"", ""1800""], ""4"": [""0900"", ""1800""]}",12:00~13:00,09시00분~18시00분,금호석류마을 아파트 맞은편
