licenseNo,name,address,phone,lat,lng,refractometer,eyeChart,licensedOn
PHMB220263010033082200005,렌즈미 명동중앙점,서울특별시 중구 명동10길 27 (명동2가),02-772-9188,37.5627408,126.9855178,1,1,2026-09-03
PHMB220263820050082200003,아이마켓 안경원,경기도 의정부시 능곡로 56 (신곡동),,37.7426902,127.0615271,1,1,2026-09-02
PHMB220263160034082200003,글라스온,"서울특별시 구로구 구로중앙로 134, L층 (구로동, 신구로자이나인스에비뉴)",,37.5000128,126.8839928,1,1,2026-09-02
PHMB220263130033082200011,폰피쉬무신사뷰티홍대점,"서울특별시 마포구 홍익로 18, 1층 (서교동)",,37.5543584,126.9228934,1,1,2026-09-02
PHMB220263240033082200006,으뜸플러스안경 고덕점,"서울특별시 강동구 고덕로 262, 고덕역 효성해링턴 타워 더퍼스트 121호 (명일동)",,37.5547633,127.1544998,1,1,2026-09-01
PHMB220263000034082200003,오브옵티컬(OVE OPTICAL),"서울특별시 종로구 수표로 122, 4층 (낙원동)",,37.5722264,126.9889759,1,1,2026-08-31
PHMB220265070014082200003,태양당안경,경상북도 안동시 중앙로 31 (서부동),,36.5659987,128.7299999,2,1,2026-08-28
PHMB220265795045082200001,으뜸플러스안경 나주혁신점,"전남광주통합특별시 나주시 빛가람로 677, 106, 107호 (빛가람동)",061-332-2008,35.0216468,126.7858052,1,1,2026-08-24
PHMB220263240033082200005,안경할인마트,"서울특별시 강동구 성내로 64, 102호 (성내동, 에스아이팰리스 센트럴성내)",,37.5278672,127.1267331,1,1,2026-08-24
PHMB220263150037082200004,알로안경 롯데몰 김포공항점,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 B1층 (방화동)",,37.5720659,126.8019291,1,1,2026-08-24
PHMB220263130033082200010,마이피픈퍼스트스토어홍대,"서울특별시 마포구 와우산로 74, 지하1층, 1층 (서교동)",,37.5511178,126.9233247,1,1,2026-08-24
PHMB220264191050082200003,으뜸50안경단계봉화산점,"강원특별자치도 원주시 백간길 25, 1층 (단계동)",033-813-0520,37.3522209,127.9259253,2,1,2026-08-21
PHMB220264050148082200003,온세일 안경,"경기도 용인시 기흥구 중부대로 64, 영통프리미엄아울렛 A동 1층 3호 (영덕동)",,37.2667661,127.0762005,1,1,2026-08-21
PHMB220264020028082200001,으뜸50안경 금정역점,"경기도 군포시 군포로 743, 2층 (산본동)",,37.3715857,126.942826,2,1,2026-08-21
PHMB220265710108082200006,라운즈안경 청추테크노폴리스점,"충청북도 청주시 흥덕구 송화로150번길 2, 103호 (송절동)",,36.6656245,127.4494683,0,0,2026-08-20
PHMB220263130033082200009,클라렌스튜디오홍대점,"서울특별시 마포구 잔다리로6길 40-8, 지하1층,1층,2층 (서교동)",070-4270-5329,37.5521394,126.9211768,1,1,2026-08-20
PHMB220263250021082200001,하파크리스틴 올리브영 남포타운점,"부산광역시 중구 비프광장로 40, 2층 (남포동5가)",,35.0984221,129.0288561,1,1,2026-08-19
PHMB220263150037082200003,으뜸플러스 까치산점,"서울특별시 강서구 강서로 58, 2층 (화곡동)",02-2039-2858,37.5330186,126.8462086,1,1,2026-08-19
PHMB220266510096082200002,렌즈미 제주점,"제주특별자치도 제주시 관덕로11길 29, 1층 (일도일동)",,33.5158797,126.525498,1,1,2026-08-18
PHMB220263660023082200004,으뜸플러스안경 탄방점,"대전광역시 서구 문정로 77, 로데오 타운 320호 (탄방동)",042-542-1159,36.3474353,127.387927,0,0,2026-08-18
PHMB220263160034082200002,원안경,서울특별시 구로구 고척로 216 (고척동),02-2613-6113,37.5055823,126.8570764,1,1,2026-08-18
PHMB220263240033082200004,오렌즈 둔촌동역점,"서울특별시 강동구 양재대로 1371, 둔촌빌딩 1층 107호 (성내동)",,37.52889,127.1358012,1,1,2026-08-13
PHMB220264390029082200001,착한안경,"충청북도 충주시 성서3길 25, 1층 (성서동)",,36.9712971,127.9330409,0,0,2026-08-12
